airtableId,missionId,availableFrom,availableUntil,minSalaryExpect,maxSalaryExpect,degreeSubject,status,missionCandidate,MissionCandidateHardSkills,missionCandidate,MissionCandidateLocations,missionCandidate,MissionCandidateLanguages
rec1UYf09r7B0IoP0,reclHFyhFZjXOSbEp,,,60000,80000,ECDL European Computer Driving Licence,Rejected by CP,rec1UYf09r7B0IoP0,"mobile-applications,mobile-devices,mobile-technology,mobile-web-design,node.js,react,react-native,swift",rec1UYf09r7B0IoP0,europe,rec1UYf09r7B0IoP0,"ar,en,it,ur"
rec1Y2b5KP4XeivLY,rec7MvbTywFTvWryg,,,,,,Rejected by CP,,,,,rec1Y2b5KP4XeivLY,"en,fr"
rec23icxDcERAoGZf,reclHFyhFZjXOSbEp,,,,,,Rejected by CP,rec23icxDcERAoGZf,react,,,rec23icxDcERAoGZf,fr
rec2cMxXDObOXGZkV,reczkFBZXTtSjNX96,,,600,,,Rejected by client,rec2cMxXDObOXGZkV,"fx-derivatives,risk-analysis,sql-tuning",,,rec2cMxXDObOXGZkV,en
rec2G9X4qqOll57vX,recGrGIFWaByaa5dg,2023-04-01,,72000,75000,,Mission closed by client,rec2G9X4qqOll57vX,"affiliate-marketing,direct-marketing,inbound-lead-generation,inbound-marketing,marketing,marketing-automation,marketing-mix,microsoft-excel,negotiation,presentations,strategic-brand-positioning",rec2G9X4qqOll57vX,asia/united-arab-emirates/dubai,rec2G9X4qqOll57vX,"ar,en"
rec2iDr1NCOV3wBs5,rec2jbStt0bBp170k,,,,,3D/VFX,Rejected by CP,rec2iDr1NCOV3wBs5,"after-effects,illustrator,photoshop,premiere,windows-media-encoder",,,rec2iDr1NCOV3wBs5,"en,fr"
rec2idvmCYbxhFklw,recwMSrftJ7BbX5mZ,,,,,,Sent to Client,rec2idvmCYbxhFklw,"mysql,python",,,rec2idvmCYbxhFklw,"en,hi"
rec2IVOhnFbQ2pXHh,rec7MvbTywFTvWryg,2023-04-04,,40000,,Architecte des technologies numériques,Rejected by client 3rd round,rec2IVOhnFbQ2pXHh,"heroku,html,javascript,mongodb,mysql,postgresql,react,react-native,ruby,ruby-on-rails,typescript",,,rec2IVOhnFbQ2pXHh,fr
rec2jHiGLOqTozp6O,recLaxiCREBzTpmDO,,,37000,,International Business Management,Sent to Client,rec2jHiGLOqTozp6O,"business-strategy,microsoft-office",,,rec2jHiGLOqTozp6O,"en,fr"
rec2lz6kUJwqLBzCn,recfkE9v9SjgMs0Ss,2023-02-12,2023-02-26,30000,35000,PhD in Education   ,Screened by CP,rec2lz6kUJwqLBzCn,"direct-sales,distribution-center-operations,negotiation,salary-negotiations,sales",rec2lz6kUJwqLBzCn,europe,rec2lz6kUJwqLBzCn,"en,zh"
rec2YMCKq5AZzrh7K,recUwquxTAuaSpYwc,2023-04-03,,68000,,Marketing B to B & Innovation,Candidate not interested,rec2YMCKq5AZzrh7K,"business-development,market-research,marketing,medical-devices",rec2YMCKq5AZzrh7K,europe/france,rec2YMCKq5AZzrh7K,"en,fr,zh"
rec2ZeEGujDSRfryj,recXsP0cgPHypy429,,,,,,Rejected by client,,,,,rec2ZeEGujDSRfryj,"en,fr,zh"
rec3byfg3s4BHLGqf,recETHEgTGsGxaBPv,2023-07-03,,600000,700000,Auto Mechanics,Rejected by client,rec3byfg3s4BHLGqf,"adaptation,communication,intellectually-curious",rec3byfg3s4BHLGqf,europe/france,rec3byfg3s4BHLGqf,"de,en,fr"
rec3CHFVL6i5xl5IX,reczkFBZXTtSjNX96,,,450,,,Sent to Client,rec3CHFVL6i5xl5IX,"business-analysis,fx-options,mysql,risk-analysis,trading",,,rec3CHFVL6i5xl5IX,en
rec3dIme0mCAZVKYH,recMh3kDSANBvdJbu,,,,,,Rejected by CP,rec3dIme0mCAZVKYH,"agile-testing,apis,black-box-testing,java,jira,regression-testing,sanity-testing,scrum,sdlc,smoke-testing,sql-clr,stlc,white-box",,,rec3dIme0mCAZVKYH,"en,hi"
rec3j3GJqqaG6mjoK,recIa8aDuWkKPM8rx,,,48000,50000,Action commerciale,Rejected by CP,rec3j3GJqqaG6mjoK,hunting,rec3j3GJqqaG6mjoK,europe/france,rec3j3GJqqaG6mjoK,fr
rec3jHERfN2Nx5vkF,recONKansnIbXY6ij,,,60000,,,Mission closed by client,,,,,rec3jHERfN2Nx5vkF,"en,fr"
rec3UDIKDapizjpjG,recKmfrKT4uTpCS2x,,,,,Department of Economics and Management,Waiting list,rec3UDIKDapizjpjG,"business-development,driving-license,management,marketing,sales",,,rec3UDIKDapizjpjG,"en,pl,ru"
rec3Zm1NBca1RI7uq,recMh3kDSANBvdJbu,,,,,,Sent to Client,rec3Zm1NBca1RI7uq,"agile-testing,apis,html,java,manual-testing,mysql,sdlc,selenium,selenium-testing,sikuli,stlc,test-automation,test-cases,test-scenarios,test-strategy",,,rec3Zm1NBca1RI7uq,"en,hi"
rec445AfBMgEp6rEV,rec1fLbPRArMKBz4D,,,40000,45000,,Rejected by CP,rec445AfBMgEp6rEV,sales,,,rec445AfBMgEp6rEV,en
rec4dGgktzAhUSALE,recKmfrKT4uTpCS2x,,,,,Business Administration,Rejected by CP,rec4dGgktzAhUSALE,"driving-license,management,marketing,sales",,,rec4dGgktzAhUSALE,"en,pl"
rec4INn4zLQsSN8nX,rec0t420QAE6AgEAn,2023-03-15,,40000,, Bachelor - Design Web Programmation objet et frameworks Gestion de projet ,Rejected by CP,rec4INn4zLQsSN8nX,".net-compact-framework,jdeveloper",,,rec4INn4zLQsSN8nX,"ar,en,fr"
rec4kZZ3hjlC8Mxun,recMh3kDSANBvdJbu,,,,,,Sent to Client,rec4kZZ3hjlC8Mxun,"agile-environment,agile-modeling,agile-testing,bugzilla,figma,java,jira,mysql,scrum,selenium",,,rec4kZZ3hjlC8Mxun,"en,hi"
rec4SMmUMa8OT2rdU,recMh3kDSANBvdJbu,,,,,,Rejected by CP,rec4SMmUMa8OT2rdU,java,rec4SMmUMa8OT2rdU,asia/india,rec4SMmUMa8OT2rdU,"en,hi"
rec4SyYUjU2nn5zlh,rec6N2U5wJf7t3ySH,2023-03-31,2023-04-14,60,70,"n sciences agronomiques, sociales et économiques, appliquées aux milieux tropicaux",Rejected by CP,rec4SyYUjU2nn5zlh,"ignite-ux,pack-office,sig",rec4SyYUjU2nn5zlh,worldwide,rec4SyYUjU2nn5zlh,"en,es,fr"
rec4TOnVdc0ZADtgy,rec6N2U5wJf7t3ySH,2023-03-01,,40000,70000,Bachelor of Science,Rejected by CP,rec4TOnVdc0ZADtgy,"android,borland-c++,html,ios,java,javascript,mongodb,php,python,sql-azure",rec4TOnVdc0ZADtgy,europe/spain,rec4TOnVdc0ZADtgy,"en,es,hi,pi,ur"
rec4w5AaNa3vIukBK,recAtcVMDz425qUT3,,,80000,,,Rejected by CP,rec4w5AaNa3vIukBK,"amazon-web-services-aws,data-feeds,data-science,databases,python",,,rec4w5AaNa3vIukBK,en
rec5CvYLW6QpUwALg,recwe9VS4h7Qfkzjd,,,30000,35000,,Mission closed by client,,,,,rec5CvYLW6QpUwALg,"en,fr,zh"
rec5cyo27dqhUGxJG,recwMSrftJ7BbX5mZ,2023-02-28,,34,,MS,Rejected by CP,rec5cyo27dqhUGxJG,python,,,rec5cyo27dqhUGxJG,"en,hi"
rec5JEbnrl9wBzhtx,reczkFBZXTtSjNX96,,,128000,153600,"MSc, Business Systems Analysis and Design",Rejected by client,rec5JEbnrl9wBzhtx,"communication,fx-options,leadership,management,sql-clr",,,rec5JEbnrl9wBzhtx,en
rec5QmMazJ6GT5pVa,recA3Ye1PMACJlO1Z,2023-02-06,,120000,,Bachelor of Engineering,Rejected by CP,rec5QmMazJ6GT5pVa,"amazon-web-services-aws,graphql,node.js",rec5QmMazJ6GT5pVa,americas/united-states,rec5QmMazJ6GT5pVa,en
rec5wYOeJIZ68u1J6,recJHwegfLPOBlDmf,,,,,Management and organization,Rejected by CP,rec5wYOeJIZ68u1J6,"analysis,analytical-skills,crm,marketing,web-content",,,rec5wYOeJIZ68u1J6,"ar,en,fr"
rec5Yk8EhCcWRBO0w,recdN16e9aiTj0z3a,,,,,Digital Transformation of Businesses,Rejected by client,rec5Yk8EhCcWRBO0w,"business-development,communication,marketing,sales,sales-management",,,rec5Yk8EhCcWRBO0w,"en,es,fr"
rec5yqt3OcSYtLi7d,recUMYC6no6ATWX6U,2023-05-02,,65000,75000,,Offer sent,rec5yqt3OcSYtLi7d,"office-365,sales,salesforce.com",rec5yqt3OcSYtLi7d,europe,rec5yqt3OcSYtLi7d,"de,en"
rec6A71VLckkekRcg,recAtcVMDz425qUT3,,,81000,,,Rejected by client,rec6A71VLckkekRcg,"databases,etl,etl-tools",,,rec6A71VLckkekRcg,en
rec6D4nfcNYvavfb8,recwMSrftJ7BbX5mZ,,,0,,,Sent to Client,rec6D4nfcNYvavfb8,"automation,test-automation",,,rec6D4nfcNYvavfb8,en
rec6FNehyv3hEEfQL,rec1fLbPRArMKBz4D,,,49000,,,Sent to Client,rec6FNehyv3hEEfQL,"leadership,negotiation,sales",,,rec6FNehyv3hEEfQL,"bg,en"
rec6hYEp9jgwquUln,rec9B1Iwayh8YU3pc,,,,,Economics and Financial Engineering,Sourced,,,,,rec6hYEp9jgwquUln,"ar,en,es,fr"
rec6iOvmhYpVjdg80,recsld3DKqBhnW6rg,2023-05-02,2023-05-02,90000,95000,"Advanced Master of Business Administration, Business Administration and Management",Mission closed by client,rec6iOvmhYpVjdg80,"operations-management,saas",,,rec6iOvmhYpVjdg80,"ar,en"
rec6isugRnLymYMAS,rec2Xnb1aA6Evh8id,,,,,,Rejected by CP,,,,,rec6isugRnLymYMAS,fr
rec6KgoOQKoSQGLDO,recKmfrKT4uTpCS2x,,,,,Marketing Studies,Rejected by CP,rec6KgoOQKoSQGLDO,"driving-license,leadership,management,marketing-communications,sales",,,rec6KgoOQKoSQGLDO,"en,pl"
rec6s8RKRQJPImR6O,recGxlU3W94snVhuH,,,0,65000,,Rejected by client,rec6s8RKRQJPImR6O,"management,project-management,sales,time-management",,,rec6s8RKRQJPImR6O,en
rec6SzdF64ZaFjsZo,recUwquxTAuaSpYwc,2023-03-21,2023-03-31,150000,150000,Executive MBA,Rejected by CP,rec6SzdF64ZaFjsZo,"board-of-directors,innovation-research,leadership,licensing-agreements,mergers-amp-acquisitions,recruiting,sales,start-up-ventures",,,rec6SzdF64ZaFjsZo,"en,fr"
rec6wq0svJ6nP2ymx,rec7MvbTywFTvWryg,,,50000,,,Rejected by CP,rec6wq0svJ6nP2ymx,"css,html,javascript,python,react,ruby,typescript",,,rec6wq0svJ6nP2ymx,"en,es,fr,ja"
rec75ed6awIHlj79a,recMh3kDSANBvdJbu,2023-03-01,,,,Computer Science,Rejected by client 2nd round,,,,,rec75ed6awIHlj79a,"en,hi,mr"
rec766u42EkrqOJb6,recAtcVMDz425qUT3,,,80000,85000,MA Cantab (Mathematics),Rejected by CP,rec766u42EkrqOJb6,"data-analysis,data-science,insurance",,,rec766u42EkrqOJb6,en
rec7Bi29zeh1NNTDp,recI8ZjHBtBdkYS21,,,35000,,,Sent to Client,rec7Bi29zeh1NNTDp,sales,,,rec7Bi29zeh1NNTDp,"de,zh"
rec7CSaSOpwtcPcWg,recUMYC6no6ATWX6U,,,72000,,,Sent to Client,rec7CSaSOpwtcPcWg,"key-account-mangement,lead-generation,organizational-development,sales",,,rec7CSaSOpwtcPcWg,"de,en"
rec7dyYHSL2d7e6IO,rec6N2U5wJf7t3ySH,2023-03-31,2023-03-31,70000,100000,DIRECTION of INFORMATION TECHNOLOGIES. ,Rejected by client,rec7dyYHSL2d7e6IO,".net,ignite-ux,java,oracle,sap,sql-plus,vmware",rec7dyYHSL2d7e6IO,"europe,worldwide",rec7dyYHSL2d7e6IO,"es,fr,it,pt"
rec7eVftKDyqe2EIZ,recsld3DKqBhnW6rg,,,6000,7000,Commerce,Rejected by CP,rec7eVftKDyqe2EIZ,"data-analysis,data-science,machine-learning",rec7eVftKDyqe2EIZ,middle-east,rec7eVftKDyqe2EIZ,"ar,en"
rec7j0nOC3naQbnrD,recdN16e9aiTj0z3a,,,32000,,,Sent to Client,rec7j0nOC3naQbnrD,"microsoft-excel,purchase-management,purchasing,sales,sales-operations,sales-process,strategy,vendor-contracts,vendor-management,vendor-relationship-management,vendors",,,rec7j0nOC3naQbnrD,"ar,en,es,pt"
rec7Km0jBBl1KdxsN,recObvBwoSTSuFEll,2023-03-31,2023-04-30,47000,,(BAC +6) en management de projet de construction durable ,Rejected by client,rec7Km0jBBl1KdxsN,"excel-dashboards,sage",rec7Km0jBBl1KdxsN,europe,rec7Km0jBBl1KdxsN,"en,fr"
rec7pNzskjbOedBt2,recBNbiMFDkK5SgOv,,,42000,46000,,Rejected by CP,rec7pNzskjbOedBt2,.com,rec7pNzskjbOedBt2,europe/france,rec7pNzskjbOedBt2,zh
rec7QVOoePgWt85Nt,rec2jbStt0bBp170k,,,,,,Rejected by CP,rec7QVOoePgWt85Nt,html,rec7QVOoePgWt85Nt,europe/france,rec7QVOoePgWt85Nt,fr
rec7S4B015k4BjoVd,recu8QJacyAODTIeX,2023-04-03,,55000,,Political Science,Mission closed by client,rec7S4B015k4BjoVd,"2d-graphics,account-management,business-development,business-relationship-building,c-level-sales,campaigns,cold-calling,communication,consultative-selling,emea,entrepreneurship,internal-communications,international-business,international-sales,lead-generation,market-research,microsoft-office,negotiation,networking,new-business-development,new-business-generation,new-business-opportunities,online-advertising,online-marketing,opportunity-qualification,pipeline-generation,planning,presentation-skills,presentations,product-knowledge,relationship-building,sales,sales-cycle-management,sales-process,solution-selling,strategy,teamwork,time-management,training,value-propositions",rec7S4B015k4BjoVd,"europe/bulgaria,europe/sweden",rec7S4B015k4BjoVd,en
rec7WQ2tEgqA2yPdd,recu8QJacyAODTIeX,,,57000,,,Rejected by client,rec7WQ2tEgqA2yPdd,"analytics,communication,cro,e-commerce,leadership,ppc,saas",rec7WQ2tEgqA2yPdd,europe/united-kingdom/england,rec7WQ2tEgqA2yPdd,en
rec7Zx0tEx5kPB1No,rec0t420QAE6AgEAn,2023-03-14,,37,,"Conception d'application",Screened by CP,rec7Zx0tEx5kPB1No,"graphql,mysql,node.js,react,typescript",,,rec7Zx0tEx5kPB1No,"en,es,fr"
rec859nIlixJ5qnFW,recA3Ye1PMACJlO1Z,2023-03-06,,60000,72000,Computer Science,Rejected by CP,rec859nIlixJ5qnFW,"amazon-web-services-aws,back-end-development,ecs,graphql,javascript,node.js,postgresql,windows-azure",,,rec859nIlixJ5qnFW,en
rec89hHTnNaf2g3A1,recwMSrftJ7BbX5mZ,2023-03-31,,20000,,b.tech,Rejected by client,rec89hHTnNaf2g3A1,python,,,rec89hHTnNaf2g3A1,en
rec8aKpK3QezNFX61,recAtcVMDz425qUT3,,,850000,95000,,Rejected by client,rec8aKpK3QezNFX61,"data-coding,data-extraction,data-migration,project-management",,,rec8aKpK3QezNFX61,en
rec8EIx4pU1shuKLx,recavhovBsS2p3eZO,,,,,International Trade & Business,Sent to Client,rec8EIx4pU1shuKLx,"business,business-development,business-management,communication,driving-license,negotiation,sales-management",,,rec8EIx4pU1shuKLx,"bg,en,fr,it,ro"
rec8HSO03c63Hqdb7,rec25eM1zf8i9g7V4,,,,,,Rejected by CP,rec8HSO03c63Hqdb7,"python,selenium",,,rec8HSO03c63Hqdb7,"en,hi"
rec8iiBI1SdCaTj9D,rec11F8d7djUmcYvT,,,24000,,,Rejected by CP,rec8iiBI1SdCaTj9D,sales,rec8iiBI1SdCaTj9D,europe/bulgaria,rec8iiBI1SdCaTj9D,"bg,en"
rec8Jgcpsbq3wmvcE,recA3Ye1PMACJlO1Z,2023-03-20,,120000,140000,Software Engineering,Rejected by CP,rec8Jgcpsbq3wmvcE,"amazon-web-services-aws,ecs,graphql,node.js,postgresql",,,rec8Jgcpsbq3wmvcE,en
rec8NOT7DkgFxWfXW,rec7MvbTywFTvWryg,2023-03-01,,45000,,Business Management,Rejected by CP,rec8NOT7DkgFxWfXW,"angularjs,apis,atlas,css,git,github,graphql,html,javascript,jira,mongodb,node.js,postgresql,react,typescript",,,rec8NOT7DkgFxWfXW,"en,es,fr"
rec8OovnmiaWyj5W3,rec5J1KpQYUAeo0rW,,,60000,,International Business,Rejected by client,rec8OovnmiaWyj5W3,"microsoft-office,ms-excel-pivot-tables",rec8OovnmiaWyj5W3,europe/spain,rec8OovnmiaWyj5W3,"de,en,es,nl"
rec8vvFIRQth7j8sy,recavhovBsS2p3eZO,,,,,Marketing,Rejected by CP,rec8vvFIRQth7j8sy,"account-management,business-development,business-strategy,driving-license,marketing,sales",,,rec8vvFIRQth7j8sy,"en,ro"
rec8WeqqS8tGwymra,recGrGIFWaByaa5dg,,,,,Post Graduate Diploma (Marketing),Waiting list,rec8WeqqS8tGwymra,"communication,marketing,media-production",,,rec8WeqqS8tGwymra,en
rec97O0GyoLisEhz2,recObvBwoSTSuFEll,2023-04-30,,41000,42000,"Diplôme d'ingénieur",Rejected by client,rec97O0GyoLisEhz2,energy-management,,,rec97O0GyoLisEhz2,fr
rec9AGT3lOul7FYDP,recwMSrftJ7BbX5mZ,2023-03-31,,150000,,B.tech,Rejected by CP,rec9AGT3lOul7FYDP,python,,,rec9AGT3lOul7FYDP,en
rec9G1UcYHanBl6NX,rec7MvbTywFTvWryg,2023-03-27,,50000,,Programmation informatique,Rejected by CP,rec9G1UcYHanBl6NX,"java,jscript,ruby,ruby-on-rails",,,rec9G1UcYHanBl6NX,"en,fr"
rec9HejHnTQHmI7Q1,recMh3kDSANBvdJbu,,,,,,Sent to Client,rec9HejHnTQHmI7Q1,python,,,rec9HejHnTQHmI7Q1,"en,hi"
rec9KAXhc8ytoLS03,recONKansnIbXY6ij,,,38000,,,Rejected by client,,,,,rec9KAXhc8ytoLS03,"en,es,fr"
rec9n1kJgaZwMeyzP,recMh3kDSANBvdJbu,,,,,,Rejected by client,rec9n1kJgaZwMeyzP,"java,python",rec9n1kJgaZwMeyzP,asia/india,rec9n1kJgaZwMeyzP,"en,hi"
rec9oY2ukbZmT0Lnk,recTOLFUh69KqHf4t,,,55000,,Marketing opérationnel international,Rejected by client,rec9oY2ukbZmT0Lnk,"energy,saas",rec9oY2ukbZmT0Lnk,europe/france,rec9oY2ukbZmT0Lnk,"en,fr"
rec9q7BZ1rWDzKNWB,recMh3kDSANBvdJbu,,,5400,,,Rejected by CP,rec9q7BZ1rWDzKNWB,"core-java,jira,mysql,selenium,testing",,,rec9q7BZ1rWDzKNWB,"en,hi,kn,ta,te"
rec9W5N4gL67lrYj7,recJHwegfLPOBlDmf,,,,,Ingénieur commercial,Candidate not interested,rec9W5N4gL67lrYj7,.com,rec9W5N4gL67lrYj7,europe/france,rec9W5N4gL67lrYj7,"en,fr,it"
reca1WmK5qaT4bB1B,recMh3kDSANBvdJbu,,,,,,Sent to Client,reca1WmK5qaT4bB1B,"java,python,selenium",,,reca1WmK5qaT4bB1B,"en,hi"
recA6QADpxm6Grzr2,recAtcVMDz425qUT3,,,70000,80000,MSc Health Data Science,Rejected by client,recA6QADpxm6Grzr2,"python,sas,stata",,,recA6QADpxm6Grzr2,en
reca9mOcSZL9zHqFa,recsld3DKqBhnW6rg,,,6750,7350,Applied Statistics And Informatics,Mission closed by client,reca9mOcSZL9zHqFa,"big-data-analytics,data-science,data-visualization,machine-learning",reca9mOcSZL9zHqFa,middle-east,reca9mOcSZL9zHqFa,"en,hi"
reca9sYEwTkX7tuC4,recAtcVMDz425qUT3,,,70000,75000,"PhD Research degree in Data Mining,",Rejected by client,reca9sYEwTkX7tuC4,"data-science,machine-learning,python",,,reca9sYEwTkX7tuC4,en
recAbBkHyAgh1Iu8S,recnBWL7L2B5oicAV,,,55,55,Economie Internationale,Rejected by CP,recAbBkHyAgh1Iu8S,commercial-focus,,,recAbBkHyAgh1Iu8S,"en,fr"
recabHEpDESBDnkd3,reco7sqp1LuUkyVRc,2023-03-11,2023-03-31,55000,,Sciences du Management ,Rejected by client,recabHEpDESBDnkd3,pack-office,recabHEpDESBDnkd3,europe,recabHEpDESBDnkd3,"en,fr"
recacvCq2OrtgqiZf,recdN16e9aiTj0z3a,,,35000,,,Sent to Client,recacvCq2OrtgqiZf,sales,,,recacvCq2OrtgqiZf,"en,es"
recAEutzyhI4IzjHK,rec2Xnb1aA6Evh8id,2023-05-08,,60000,,Information technology for business management,Rejected by client,recAEutzyhI4IzjHK,"api-development,application-architecture,ci-cd,code-review,javascript,postgresql,react,ruby,ruby-on-rails,test-driven-development,unit-testing",recAEutzyhI4IzjHK,europe/france,recAEutzyhI4IzjHK,"en,fr"
recaF5KFTJ4FQEuCq,rec8fX8ZnMmWDyHil,,,30000,33000,Computer Science,Rejected by client,recaF5KFTJ4FQEuCq,"campaign-strategies,digital-media,marketing-strategy,social-media",,,recaF5KFTJ4FQEuCq,"en,zh"
recag52kzYAVaDoWq,recMh3kDSANBvdJbu,,,,,Bachelor of computer science,Sent to Client,recag52kzYAVaDoWq,"apis,java,mysql,selenium",,,recag52kzYAVaDoWq,en
recAGHgxfEWGHKGiY,reciyBfDq6P4e5jEN,2023-03-01,,35000,35000,International Compliance ,Screened by CP,recAGHgxfEWGHKGiY,"crypto,dao",,,recAGHgxfEWGHKGiY,"az,en,fa,ja,ru,tr"
recAhl55af70Ae79j,rec5J1KpQYUAeo0rW,,,60000,,Travel Market ,Rejected by client,recAhl55af70Ae79j,"crm-databases,microsoft-office,saas",recAhl55af70Ae79j,europe/spain,recAhl55af70Ae79j,"en,es"
recAIEHfkxvPpZvqY,recwMSrftJ7BbX5mZ,,,,,,Sent to Client,recAIEHfkxvPpZvqY,"bug-tracking,test-cases,test-execution,test-scenarios",,,recAIEHfkxvPpZvqY,"en,hi"
recAIGt7MPgPvCTrO,recwMSrftJ7BbX5mZ,,,9000,,,Rejected by CP,recAIGt7MPgPvCTrO,"java,javascript,python,sql-azure",,,recAIGt7MPgPvCTrO,"en,te"
recaiTR2GfGJvmLM4,reclHFyhFZjXOSbEp,,,78,,Programmation informatique / web et e-business,Rejected by CP,recaiTR2GfGJvmLM4,"django,graphql,java,python,react-native",,,recaiTR2GfGJvmLM4,"en,fr"
recaIwmNw1xfi9DPu,recAtcVMDz425qUT3,,,90000,,,Rejected by CP,recaIwmNw1xfi9DPu,"data-analysis,data-coding,data-modeling,etl,etl-tools,python",,,recaIwmNw1xfi9DPu,en
recAJO1DO184F5w2R,recdN16e9aiTj0z3a,,,,,"Advance Management Program, Business Administration",Candidate not interested,recAJO1DO184F5w2R,"business-development,business-strategy,sales,strategy",,,recAJO1DO184F5w2R,"en,es"
recaKdDx5imUMGQs2,rec2Xnb1aA6Evh8id,,,,,,Rejected by CP,recaKdDx5imUMGQs2,ruby-on-rails,,,recaKdDx5imUMGQs2,fr
